street,latitude,longitude,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
Camín de Llantones,43.481182,-5.6799461,115,115,300,300,1,False
Paso provisional,31.7801949,-106.2130946,55,55,62,62,1,False
Calle Rocafort,43.5406982,-5.6417795,45,45,540,540,1,False
Calle José Las Clotas,43.538982,-5.6634336,18,23,397,311,0.975322,False
Calle Juan Valdés Cores,43.5346499,-5.6211,35,35,26,26,1,False
Calle Charles Chaplin,43.4868114,-5.6531235,36,36,914,914,1,False
Camín de Gilledo,43.4983853,-5.6642233,49,49,209,209,1,False
El Elefante Azul,21.1947436,-101.6658558,54,54,1647,1647,1,False
Avenida de La Metalurgia,43.5271861,-5.7127476,54,54,1118,1118,1,False
Calle María de Echarri,43.5217637,-5.712384,56,56,886,886,1,False
Camín de los Enebros,43.4862262,-5.7034707,38,38,282,282,1,False
Parque de Isabel la Católica,43.5377784,-5.6422981,35,35,183,183,1,False
Calle San Quintín,43.5394191,-5.6828464,20,26,305,234,0.971461,False
Calle Oviedo,43.5219611,-5.6833465,26,32,428,348,0.99783,False
Camín de La Mata,43.5108451,-5.7024222,102,102,640,640,1,False
Calle 27 de diciembre,43.5448255,-5.6633566,29,29,169,169,1,False
Calle Puerto de La Cubilla,43.5331004,-5.6721994,30,36,377,314,0.99424,False
Camino Cañaveral,43.5338507,-5.6275352,15,19,270,213,0.635601,True
Calle Mon,43.522387,-5.6698479,53,53,1368,1368,1,False
Carril bici Avenida de Concha Espina,43.5224594,-5.6848637,37,37,101,101,1,False
Camín de la Estación,43.4832107,-5.7189739,62,62,840,840,1,False
Calle Periodista Adeflor,43.5377684,-5.6626601,18,23,397,311,0.975525,False
Camino de Panes,43.5196619,-5.6606699,48,48,1664,1664,1,False
Camín del Golf,43.458737,-5.7560442,100,100,636,636,1,False
Caleya de Chelo Fausto,43.5116209,-5.5853176,46,46,1762,1762,1,False
Camín de San Vicente,43.483759,-5.7011194,38,38,282,282,1,False
Calle Bertolt Brecht,43.5349096,-5.6923178,54,54,1118,1118,1,False
Bomberos,43.545229,-5.6619245,29,29,169,169,1,False
Calle del Agua,43.5018933,-5.6178043,49,49,1450,1450,1,False
Camín de Cagüezo,43.4856969,-5.6703057,47,47,193,193,1,False
Calle Conde de Guadalhorce,43.5391693,-5.6644101,17,23,421,311,0.977203,False
Cruce Infanzon,43.5155216,-5.6053801,50,50,1092,1092,1,False
Camín de la Fuente de Manolillo,43.5189021,-5.6330576,104,104,589,589,1,False
Camín de La Fontana,43.4795803,-5.7446094,69,69,16,16,1,False
Camino de Los Saúcos,43.5362725,-5.608722,44,44,552,552,1,False
Travesía de la Iglesia,43.5476349,-5.7021524,25,32,5,4,0.81,False
El Pison,43.5394927,-5.6318356,45,45,540,540,1,False
Calle José Ramón González-Regueral,43.5421316,-5.698499,19,25,503,382,0.955564,False
Puente de El Molinón,43.5353847,-5.6377475,35,35,183,183,1,False
Plaza de La Serena,43.5304679,-5.6645444,22,29,419,318,0.996064,False
Camín del Rosal,43.458737,-5.7560442,100,100,636,636,1,False
El Hogar,10.4501696,-73.2748,85,85,943,943,1,False
Campos Ángel Rey,25.6584683,-100.25933,43,43,220,220,1,False
Calle Guatemala,43.5401357,-5.6939559,42,42,462,462,1,False
Cruce de la Laboral,43.5260152,-5.6104197,41,41,683,683,1,False
Camín del Roble,43.458737,-5.7560442,100,100,636,636,1,False
Torre Florida,26.797972,-82.0413066,93,93,477,477,1,False
Escalera 1,40.9384291,0.8569919,123,123,406,406,1,False
Calle Coliseo,43.5433164,-5.7001508,42,42,462,462,1,False
Jardines del Movimiento Indigena,43.5187387,-5.6641353,108,108,66,66,1,False
Camin del Peñón,43.458737,-5.7560442,100,100,636,636,1,False
Calle Rafael Fernández,43.537569,-5.6844202,39,39,477,477,1,False
Calle Julio Verne,43.5100124,-5.6871109,100,100,636,636,1,False
Comisaría,43.545229,-5.6619245,29,29,169,169,1,False
Camín d'Abelardo,43.4832798,-5.7424275,56,56,16,16,1,False
Parque de Carlos Marx,43.5366388,-5.6734794,28,28,263,263,1,False
Fuente del Real,43.5317196,-5.6585783,29,29,318,318,1,False
Plaza del Ingeniero Orueta,43.5246017,-5.66838,53,53,1368,1368,1,False
Camín de Les Vegues,43.5101106,-5.6445285,41,41,683,683,1,False
Avenida de La Camocha,43.4904839,-5.6475356,48,48,1664,1664,1,False
Camín de Robustiano,43.4850737,-5.6199934,49,49,1450,1450,1,False
Calle Monte Deva,43.5276654,-5.6829734,87,87,51,51,1,False
Calle Pedro Salinas,43.5234157,-5.6876068,37,37,101,101,1,False
Calle Jesús Revuelta,43.5336145,-5.6367528,24,34,566,399,0.995708,False
Cuesta del Cholo,43.5470105,-5.6656114,16,23,447,311,0.976147,False
Calle Juan de la Cierva,43.5301469,-5.6888489,99,99,62,62,1,False
Camín de la Gola,43.4795803,-5.7446094,69,69,16,16,1,False
Camino de Los Lirios,43.5352845,-5.6286569,11,19,368,213,0.637022,True
Calle Ruperto Velasco,43.5430789,-5.6647712,29,29,169,169,1,False
Camín de la Fuente de la Piquera,43.4821251,-5.7193765,62,62,840,840,1,False
Calle Peñalba,43.5343086,-5.6547532,21,33,345,219,0.995903,False
Travesía de la Canterona,43.5314475,-5.6008888,49,49,463,463,1,False
Carretera de San Miguel,43.5065835,-5.5754823,104,104,589,589,1,False
Calle I Sondistas,43.4853531,-5.654068,36,36,914,914,1,False
Calle del Piles,43.5374924,-5.6482987,16,23,447,311,0.977203,False
Camping Deva,43.5076041,-5.6044473,104,104,589,589,1,False
Calle Pola de Siero,43.539673,-5.6697767,28,28,263,263,1,False
Camin de San Xuan,43.483759,-5.7011194,38,38,282,282,1,False
Camino de la Iglesia,43.5470352,-5.7005806,42,42,462,462,1,False
Urbanización El Rinconín,43.5193063,-5.6399053,104,104,45,45,1,False
Camín de L'Arrionda,43.4862262,-5.7034707,38,38,282,282,1,False
Calle Concejo de Vegadeo,43.5220412,-5.6550394,28,28,258,258,1,False
Camín de Quintueles,43.5352539,-5.6011519,50,50,458,458,1,False
Muelle de Fomento,43.5651054,-5.6945618,73,73,663,663,1,False
Calle Matadero Viejo,43.5413984,-5.6700281,29,29,169,169,1,False
Camín de Moreno,43.5001887,-5.6143516,41,41,683,683,1,False
Calle Vicente Innerarity,43.5365997,-5.6501619,16,23,447,311,0.977203,False
Urbanización Los Arces,43.5474934,-5.6286183,50,50,458,458,1,False
Camin de Santa Maria,43.5333558,-5.6651751,25,31,445,359,0.998783,False
Camino del Alto de la Cruz,43.4817394,-5.6788321,113,113,311,311,1,False
Camin de Barrea,43.4850737,-5.6199934,49,49,1450,1450,1,False
Estación ALSA,43.5407689,-5.7221987,24,24,108,108,1,False
El Parque,43.5428643,-5.702232,42,42,462,462,1,False
Paseo de Begoña,43.5385371,-5.6612861,16,22,447,325,0.977203,False
Calle Espinosa,43.5391926,-5.7084767,19,25,503,382,0.949134,False
Camino de la Esperanza,43.3113208,-5.6819303,53,53,1464,1464,1,False
Camino de la Fuente del Moro,37.4440031,-5.3877851,71,71,288,288,1,False
Calle D,43.4860912,-5.6621523,44,44,205,205,1,False
Camino de la Mina de Los Areneros,43.5516429,-5.7087335,19,25,503,382,0.949134,False
Conde de Toreno,43.530972,-5.6509868,28,28,258,258,1,False
Ctra. Villaviciosa (Escuela de Marina),43.5196184,-5.6086055,49,49,1147,1147,1,False
Avenida de El Llano,43.5425888,-5.7092119,42,42,462,462,1,False
Camín del Cementeriu,43.458737,-5.7560442,100,100,636,636,1,False
Camin de los Viveros de Cabueñes,-37.3684386,-73.3387852,28,28,2162,2162,1,False
Camino del Horno,43.5156001,-5.6738723,48,48,971,971,1,False
Calle Leonardo da Vinci,43.5085167,-5.6878049,100,100,636,636,1,False
Camín de Los Sietos,43.4862262,-5.7034707,38,38,282,282,1,False
Calle Esmaltadores,43.5175341,-5.6776961,53,53,1368,1368,1,False
Camín Tras de la Torre,43.4987188,-5.7511668,117,117,194,194,1,False
Avenida de Lloreda,43.5250214,-5.7134478,54,54,1118,1118,1,False
Camín de La Tejera,43.497704,-5.6654608,49,49,209,209,1,False
Dos de Mayo,43.5387826,-5.6854333,20,26,305,234,0.971461,False
Calle Ramón Gómez Lozana,43.5101726,-5.6714945,113,113,128,128,1,False
Puerto del Pontón,43.5320048,-5.6766759,51,74,32,22,1,False
Camin de la Fuente de Maroto,43.4991131,-5.6625496,49,49,209,209,1,False
