street,latitude,longitude,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
Carretera Cardo-Candás,42.0852866,-7.8637995,43,43,1055,1055,1,False
Calle Blasco de Garay,43.5253347,-5.6299698,50,50,1092,1092,1,False
Camín de la Corolla,43.4795803,-5.7446094,69,69,16,16,1,False
Calle Flora Tristán,37.3899582,-5.9233618,30,30,45,45,1,False
Camín de la Fuente de Manolillo,43.5189021,-5.6330576,104,104,589,589,1,False
E.S. Los Campones,43.4862262,-5.7034707,38,38,282,282,1,False
Calle San Francisco de Asís,43.5332275,-5.6559065,25,32,290,226,0.995853,False
Camín d'Estaño,42.3498948,1.4571922,48,48,446,446,1,False
Avenida de la Constitucion,43.5311119,-5.6729924,36,36,314,314,1,False
Camín de la Llama,43.4795803,-5.7446094,69,69,16,16,1,False
Calle El Llungueru,43.5602918,-5.7055466,42,42,462,462,1,False
Plaza Quin El Pescador,43.3761582,-5.8190118,89,89,77,77,1,False
Acceso a la Piscina,41.9923738,-3.024922,46,46,1967,1967,1,False
Carretera de Santullano a Marinas,43.6880359,-7.6218379,69,69,707,707,1,False
Calle Robustiano Viña,43.5242066,-5.712853,56,56,886,886,1,False
El Camín de la Iglesia,37.1336204,-3.9424181,48,48,1585,1585,1,False
Salida a AS-18,20.7121742,-100.8386962,36,36,2220,2220,1,False
Calle Espronceda,43.5329828,-5.6678498,26,31,428,359,1,False
Camín de Les Vegues,43.5101106,-5.6445285,41,41,683,683,1,False
Camino de la Frontera,43.5267333,-5.6037046,36,36,347,347,1,False
Calle Albuquerque,43.5269669,-5.6501377,28,28,258,258,1,False
Calle Santín,43.5285524,-5.677893,21,28,37,28,1,False
Centro FPO,43.4951359,-5.6798388,49,49,209,209,1,False
Camín del Apeadero,43.458737,-5.7560442,100,100,636,636,1,False
Camino de la Cantera,43.4941033,-5.7193688,102,102,640,640,1,False
Calle Valle de Arán,43.5527006,-5.9007534,56,56,450,450,1,False
Avenida Justo del Castillo,43.528654,-5.6353373,27,35,503,388,0.992163,False
Camín del Xuncalón,43.458737,-5.7560442,100,100,636,636,1,False
Calle de Rubín,43.5388855,-5.7065374,20,25,477,382,0.977931,False
Antiguo trazado,40.895241,0.7287523,55,55,869,869,1,False
Carril bici de Talasoponiente,39.0482409,-9.3972417,34,34,130,130,1,False
Calle Los Cuatro Ases de la Canción Asturiana,43.3682019,-5.8603289,36,36,764,764,1,False
Avenida de Truyes,43.5413133,-5.8885188,42,42,227,227,1,False
Camin de la Playa de Estaño,43.5460935,-5.6022533,50,50,458,458,1,False
